# UCUM;;;K;cm2/s;cm2/s
doi;bath_gas;gas;T;D;U_D
10.1021/acs.jced.1c00161;nitrogen;methane;250;0.170;0.0020
10.1021/acs.jced.1c00161;nitrogen;methane;273;0.200;0.0020
10.1021/acs.jced.1c00161;nitrogen;methane;300;0.237;0.0030
10.1021/acs.jced.1c00161;nitrogen;methane;350;0.310;0.0040
10.1021/acs.jced.1c00161;nitrogen;methane;400;0.391;0.0040
10.1021/acs.jced.1c00161;nitrogen;methane;450;0.475;0.0050
10.1021/acs.jced.1c00161;nitrogen;methane;500;0.577;0.0070
10.1021/acs.jced.1c00161;nitrogen;methane;550;0.673;0.0070
10.1021/acs.jced.1c00161;nitrogen;fluoromethane;300;0.186;0.0020
10.1021/acs.jced.1c00161;nitrogen;fluoromethane;350;0.245;0.0030
10.1021/acs.jced.1c00161;nitrogen;fluoromethane;400;0.311;0.0050
10.1021/acs.jced.1c00161;nitrogen;fluoromethane;450;0.385;0.0050
10.1021/acs.jced.1c00161;nitrogen;fluoromethane;500;0.463;0.0070
10.1021/acs.jced.1c00161;nitrogen;fluoromethane;550;0.549;0.0090
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;300;0.156;0.0030
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;350;0.207;0.0030
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;400;0.259;0.0030
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;450;0.321;0.0050
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;500;0.386;0.0040
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;550;0.454;0.0050
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;600;0.528;0.0060
10.1021/acs.jced.1c00161;nitrogen;difluoromethane;650;0.613;0.0100
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;300;0.145;0.0030
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;350;0.191;0.0020
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;400;0.240;0.0050
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;450;0.289;0.0070
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;500;0.346;0.0040
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;550;0.409;0.0050
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;600;0.475;0.0120
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;650;0.549;0.0130
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;700;0.623;0.0120
10.1021/acs.jced.1c00161;nitrogen;trifluoromethane;723;0.661;0.0160
10.1016/j.combustflame.2012.04.015;helium;ethane;300;0.497;0.0010
10.1016/j.combustflame.2012.04.015;helium;ethane;350;0.642;0.0010
10.1016/j.combustflame.2012.04.015;helium;ethane;400;0.802;0.0010
10.1016/j.combustflame.2012.04.015;helium;ethane;450;0.977;0.0030
10.1016/j.combustflame.2012.04.015;helium;ethane;500;1.162;0.0040
10.1016/j.combustflame.2012.04.015;helium;ethane;550;1.361;0.0070
10.1016/j.combustflame.2012.04.015;helium;ethane;600;1.570;0.0100
10.1016/j.combustflame.2012.04.015;helium;ethane;650;1.801;0.0150
10.1016/j.combustflame.2012.04.015;helium;ethane;700;2.050;0.0270
10.1016/j.combustflame.2012.04.015;helium;ethane;723;2.174;0.0300
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;300;0.156;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;350;0.207;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;400;0.262;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;450;0.322;0.0020
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;500;0.385;0.0030
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;550;0.451;0.0040
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;600;0.520;0.0060
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;650;0.595;0.0080
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;700;0.675;0.0013
10.1016/j.combustflame.2012.04.015;nitrogen;ethane;723;0.715;0.0260
10.1016/j.combustflame.2012.04.015;helium;propane;300;0.404;0.0010
10.1016/j.combustflame.2012.04.015;helium;propane;350;0.520;0.0010
10.1016/j.combustflame.2012.04.015;helium;propane;400;0.643;0.0010
10.1016/j.combustflame.2012.04.015;helium;propane;450;0.785;0.0030
10.1016/j.combustflame.2012.04.015;helium;propane;500;0.936;0.0040
10.1016/j.combustflame.2012.04.015;helium;propane;550;1.098;0.0070
10.1016/j.combustflame.2012.04.015;helium;propane;600;1.263;0.0100
10.1016/j.combustflame.2012.04.015;helium;propane;650;1.435;0.0150
10.1016/j.combustflame.2012.04.015;helium;propane;700;1.640;0.0270
10.1016/j.combustflame.2012.04.015;helium;propane;723;1.747;0.0300
10.1016/j.combustflame.2012.04.015;nitrogen;propane;300;0.121;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;propane;350;0.161;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;propane;400;0.205;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;propane;450;0.252;0.0020
10.1016/j.combustflame.2012.04.015;nitrogen;propane;500;0.301;0.0030
10.1016/j.combustflame.2012.04.015;nitrogen;propane;550;0.354;0.0050
10.1016/j.combustflame.2012.04.015;nitrogen;propane;600;0.409;0.0070
10.1016/j.combustflame.2012.04.015;nitrogen;propane;650;0.466;0.0100
10.1016/j.combustflame.2012.04.015;nitrogen;propane;700;0.527;0.0170
10.1016/j.combustflame.2012.04.015;nitrogen;propane;723;0.559;0.0190
10.1016/j.combustflame.2012.04.015;helium;butane;300;0.338;0.0020
10.1016/j.combustflame.2012.04.015;helium;butane;350;0.445;0.0030
10.1016/j.combustflame.2012.04.015;helium;butane;400;0.554;0.0020
10.1016/j.combustflame.2012.04.015;helium;butane;450;0.674;0.0040
10.1016/j.combustflame.2012.04.015;helium;butane;500;0.802;0.0040
10.1016/j.combustflame.2012.04.015;helium;butane;550;0.934;0.0070
10.1016/j.combustflame.2012.04.015;helium;butane;600;1.074;0.0110
10.1016/j.combustflame.2012.04.015;helium;butane;650;1.215;0.0220
10.1016/j.combustflame.2012.04.015;helium;butane;700;1.389;0.0490
10.1016/j.combustflame.2012.04.015;helium;butane;723;1.477;0.0380
10.1016/j.combustflame.2012.04.015;nitrogen;butane;350;0.136;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;butane;400;0.174;0.0010
10.1016/j.combustflame.2012.04.015;nitrogen;butane;450;0.213;0.0020
10.1016/j.combustflame.2012.04.015;nitrogen;butane;500;0.256;0.0020
10.1016/j.combustflame.2012.04.015;nitrogen;butane;550;0.301;0.0040
10.1016/j.combustflame.2012.04.015;nitrogen;butane;600;0.347;0.0060
10.1016/j.combustflame.2012.04.015;nitrogen;butane;650;0.395;0.0100
10.1016/j.combustflame.2012.04.015;nitrogen;butane;700;0.453;0.0160
10.1016/j.combustflame.2012.04.015;nitrogen;butane;723;0.478;0.0160
10.1016/j.chroma.2011.09.035;helium;methane;300;0.674;0.0042
10.1016/j.chroma.2011.09.035;helium;methane;350;0.874;0.0047
10.1016/j.chroma.2011.09.035;helium;methane;400;1.087;0.0050
10.1016/j.chroma.2011.09.035;helium;methane;450;1.322;0.0080
10.1016/j.chroma.2011.09.035;helium;methane;500;1.579;0.0120
10.1016/j.chroma.2011.09.035;helium;methane;550;1.854;0.0190
10.1016/j.chroma.2011.09.035;helium;methane;600;2.144;0.0300
10.1016/j.chroma.2011.09.035;helium;methane;650;2.456;0.0460
10.1016/j.chroma.2011.09.035;helium;methane;700;2.792;0.0780
10.1016/j.chroma.2011.09.035;helium;methane;723;2.943;0.0870
10.1016/j.chroma.2011.09.035;helium;argon;300;0.734;0.0044
10.1016/j.chroma.2011.09.035;helium;argon;350;0.954;0.0035
10.1016/j.chroma.2011.09.035;helium;argon;400;1.192;0.0080
10.1016/j.chroma.2011.09.035;helium;argon;450;1.447;0.0120
10.1016/j.chroma.2011.09.035;helium;argon;500;1.719;0.0150
10.1016/j.chroma.2011.09.035;helium;argon;550;2.017;0.0220
10.1016/j.chroma.2011.09.035;helium;argon;600;2.329;0.0350
10.1016/j.chroma.2011.09.035;helium;argon;650;2.676;0.0490
