T;property;unit;value
90;B;cm3/mol;-3948
100;B;cm3/mol;-2638
110;B;cm3/mol;-1912
120;B;cm3/mol;-1466
130;B;cm3/mol;-1171
140;B;cm3/mol;-964.1
150;B;cm3/mol;-812.3
160;B;cm3/mol;-696.8
170;B;cm3/mol;-606.6
180;B;cm3/mol;-534.2
190;B;cm3/mol;-475.1
200;B;cm3/mol;-425.9
220;B;cm3/mol;-349
240;B;cm3/mol;-291.8
260;B;cm3/mol;-247.7
280;B;cm3/mol;-212.7
300;B;cm3/mol;-184.2
320;B;cm3/mol;-160.7
340;B;cm3/mol;-140.9
360;B;cm3/mol;-124.1
380;B;cm3/mol;-109.6
400;B;cm3/mol;-96.96
420;B;cm3/mol;-85.88
440;B;cm3/mol;-76.08
460;B;cm3/mol;-67.36
480;B;cm3/mol;-59.55
500;B;cm3/mol;-52.52
550;B;cm3/mol;-37.67
600;B;cm3/mol;-25.81
650;B;cm3/mol;-16.14
700;B;cm3/mol;8.12
750;B;cm3/mol;-1.36
800;B;cm3/mol;4.39
900;B;cm3/mol;13.65
1000;B;cm3/mol;20.73
1100;B;cm3/mol;26.3
1200;B;cm3/mol;30.78
90;BQFH;cm3/mol;-3631
100;BQFH;cm3/mol;-2478
110;BQFH;cm3/mol;-1821
120;BQFH;cm3/mol;-1409
130;BQFH;cm3/mol;-1133
140;BQFH;cm3/mol;-937.5
150;BQFH;cm3/mol;-792.8
160;BQFH;cm3/mol;-682.1
170;BQFH;cm3/mol;-595.1
180;BQFH;cm3/mol;-525
190;BQFH;cm3/mol;-467.6
200;BQFH;cm3/mol;-419.7
220;BQFH;cm3/mol;-344.6
240;BQFH;cm3/mol;-288.5
260;BQFH;cm3/mol;-245.1
280;BQFH;cm3/mol;-210.6
300;BQFH;cm3/mol;-182.5
320;BQFH;cm3/mol;-159.3
340;BQFH;cm3/mol;-139.7
360;BQFH;cm3/mol;-123.1
380;BQFH;cm3/mol;-108.7
400;BQFH;cm3/mol;-96.17
420;BQFH;cm3/mol;-85.18
440;BQFH;cm3/mol;-75.45
460;BQFH;cm3/mol;-66.79
480;BQFH;cm3/mol;-59.04
500;BQFH;cm3/mol;-52.05
550;BQFH;cm3/mol;-37.29
600;BQFH;cm3/mol;-25.49
650;BQFH;cm3/mol;-15.86
700;BQFH;cm3/mol;-7.88
750;BQFH;cm3/mol;-1.16
800;BQFH;cm3/mol;4.57
900;BQFH;cm3/mol;13.79
1000;BQFH;cm3/mol;20.85
1100;BQFH;cm3/mol;26.4
1200;BQFH;cm3/mol;30.87
90;viscosity;uPa.s;3.05
105;viscosity;uPa.s;3.46
120;viscosity;uPa.s;3.88
135;viscosity;uPa.s;4.3
150;viscosity;uPa.s;4.74
175;viscosity;uPa.s;5.48
200;viscosity;uPa.s;6.24
225;viscosity;uPa.s;7
250;viscosity;uPa.s;7.77
275;viscosity;uPa.s;8.53
300;viscosity;uPa.s;9.29
325;viscosity;uPa.s;10.03
350;viscosity;uPa.s;10.76
375;viscosity;uPa.s;11.48
400;viscosity;uPa.s;12.18
425;viscosity;uPa.s;12.87
450;viscosity;uPa.s;13.54
475;viscosity;uPa.s;14.2
500;viscosity;uPa.s;14.84
525;viscosity;uPa.s;15.47
550;viscosity;uPa.s;16.08
575;viscosity;uPa.s;16.68
600;viscosity;uPa.s;17.27
650;viscosity;uPa.s;18.41
700;viscosity;uPa.s;19.51
750;viscosity;uPa.s;20.58
800;viscosity;uPa.s;21.6
850;viscosity;uPa.s;22.6
900;viscosity;uPa.s;23.56
950;viscosity;uPa.s;24.5
1000;viscosity;uPa.s;25.42
1100;viscosity;uPa.s;27.19
1200;viscosity;uPa.s;28.88
